date,store_id,item_id,qty_sold,price,on_promo,discount_pct,stockout_flag
2022-01-01,S1,I1,13,247.5,0,0.0,0
2022-01-02,S1,I1,14,247.5,0,0.0,0
2022-01-03,S1,I1,14,247.5,0,0.0,0
2022-01-04,S1,I1,14,247.5,1,0.13,0
2022-01-05,S1,I1,8,247.5,0,0.0,0
2022-01-06,S1,I1,7,247.5,0,0.0,0
2022-01-07,S1,I1,11,247.5,0,0.0,0
2022-01-08,S1,I1,8,247.5,0,0.0,0
2022-01-09,S1,I1,4,247.5,0,0.0,0
2022-01-10,S1,I1,7,247.5,0,0.0,0
2022-01-11,S1,I1,8,247.5,0,0.0,0
2022-01-12,S1,I1,12,247.5,0,0.0,0
2022-01-13,S1,I1,10,247.5,0,0.0,0
2022-01-14,S1,I1,8,247.5,0,0.0,0
2022-01-15,S1,I1,14,247.5,0,0.0,0
2022-01-16,S1,I1,17,247.5,0,0.0,0
2022-01-17,S1,I1,7,247.5,0,0.0,0
2022-01-18,S1,I1,7,247.5,0,0.0,0
2022-01-19,S1,I1,9,247.5,0,0.0,0
2022-01-20,S1,I1,13,247.5,0,0.0,0
2022-01-21,S1,I1,0,247.5,0,0.0,1
2022-01-22,S1,I1,6,247.5,0,0.0,0
2022-01-23,S1,I1,8,247.5,0,0.0,0
2022-01-24,S1,I1,10,247.5,0,0.0,0
2022-01-25,S1,I1,9,247.5,0,0.0,0
2022-01-26,S1,I1,13,247.5,0,0.0,0
2022-01-27,S1,I1,6,247.5,0,0.0,0
2022-01-28,S1,I1,3,247.5,0,0.0,0
2022-01-29,S1,I1,13,247.5,0,0.0,0
2022-01-30,S1,I1,3,247.5,0,0.0,0
2022-01-31,S1,I1,7,247.5,0,0.0,0
2022-02-01,S1,I1,13,247.5,1,0.27,0
2022-02-02,S1,I1,9,247.5,0,0.0,0
2022-02-03,S1,I1,14,247.5,0,0.0,0
2022-02-04,S1,I1,8,247.5,0,0.0,0
2022-02-05,S1,I1,12,247.5,0,0.0,0
2022-02-06,S1,I1,8,247.5,0,0.0,0
2022-02-07,S1,I1,11,247.5,0,0.0,0
2022-02-08,S1,I1,10,247.5,0,0.0,0
2022-02-09,S1,I1,14,247.5,0,0.0,0
2022-02-10,S1,I1,16,247.5,1,0.19,0
2022-02-11,S1,I1,12,247.5,0,0.0,0
2022-02-12,S1,I1,10,247.5,1,0.15,0
2022-02-13,S1,I1,0,247.5,0,0.0,1
2022-02-14,S1,I1,15,247.5,1,0.22,0
2022-02-15,S1,I1,18,247.5,1,0.26,0
2022-02-16,S1,I1,7,247.5,0,0.0,0
2022-02-17,S1,I1,9,247.5,0,0.0,0
2022-02-18,S1,I1,14,247.5,0,0.0,0
2022-02-19,S1,I1,7,247.5,0,0.0,0
2022-02-20,S1,I1,12,247.5,0,0.0,0
2022-02-21,S1,I1,6,247.5,0,0.0,0
2022-02-22,S1,I1,16,247.5,0,0.0,0
2022-02-23,S1,I1,5,247.5,0,0.0,0
2022-02-24,S1,I1,7,247.5,0,0.0,0
2022-02-25,S1,I1,8,247.5,0,0.0,0
2022-02-26,S1,I1,7,247.5,0,0.0,0
2022-02-27,S1,I1,14,247.5,1,0.25,0
2022-02-28,S1,I1,7,247.5,0,0.0,0
2022-03-01,S1,I1,14,247.5,0,0.0,0
2022-03-02,S1,I1,0,247.5,0,0.0,1
2022-03-03,S1,I1,6,247.5,0,0.0,0
2022-03-04,S1,I1,18,247.5,0,0.0,0
2022-03-05,S1,I1,10,247.5,0,0.0,0
2022-03-06,S1,I1,15,247.5,0,0.0,0
2022-03-07,S1,I1,14,247.5,1,0.12,0
2022-03-08,S1,I1,6,247.5,0,0.0,0
2022-03-09,S1,I1,9,247.5,0,0.0,0
2022-03-10,S1,I1,9,247.5,0,0.0,0
2022-03-11,S1,I1,0,247.5,0,0.0,1
2022-03-12,S1,I1,13,247.5,0,0.0,0
2022-03-13,S1,I1,14,247.5,0,0.0,0
2022-03-14,S1,I1,10,247.5,0,0.0,0
2022-03-15,S1,I1,16,247.5,0,0.0,0
2022-03-16,S1,I1,3,247.5,0,0.0,0
2022-03-17,S1,I1,4,247.5,0,0.0,0
2022-03-18,S1,I1,3,247.5,0,0.0,0
2022-03-19,S1,I1,11,247.5,0,0.0,0
2022-03-20,S1,I1,15,247.5,0,0.0,0
2022-03-21,S1,I1,8,247.5,0,0.0,0
2022-03-22,S1,I1,3,247.5,0,0.0,0
2022-03-23,S1,I1,7,247.5,0,0.0,0
2022-03-24,S1,I1,12,247.5,0,0.0,0
2022-03-25,S1,I1,15,247.5,1,0.17,0
2022-03-26,S1,I1,16,247.5,0,0.0,0
2022-03-27,S1,I1,13,247.5,0,0.0,0
2022-03-28,S1,I1,1,247.5,0,0.0,0
2022-03-29,S1,I1,9,247.5,0,0.0,0
2022-03-30,S1,I1,9,247.5,1,0.22,0
2022-03-31,S1,I1,11,247.5,0,0.0,0
2022-04-01,S1,I1,11,247.5,0,0.0,0
2022-04-02,S1,I1,12,247.5,0,0.0,0
2022-04-03,S1,I1,15,247.5,0,0.0,0
2022-04-04,S1,I1,10,247.5,0,0.0,0
2022-04-05,S1,I1,8,247.5,0,0.0,0
2022-04-06,S1,I1,7,247.5,0,0.0,0
2022-04-07,S1,I1,12,247.5,0,0.0,0
2022-04-08,S1,I1,9,247.5,0,0.0,0
2022-04-09,S1,I1,10,247.5,0,0.0,0
2022-04-10,S1,I1,18,247.5,0,0.0,0
2022-04-11,S1,I1,11,247.5,0,0.0,0
2022-04-12,S1,I1,13,247.5,0,0.0,0
2022-04-13,S1,I1,7,247.5,0,0.0,0
2022-04-14,S1,I1,12,247.5,0,0.0,0
2022-04-15,S1,I1,5,247.5,0,0.0,0
2022-04-16,S1,I1,7,247.5,0,0.0,0
2022-04-17,S1,I1,9,247.5,0,0.0,0
2022-04-18,S1,I1,12,247.5,0,0.0,0
2022-04-19,S1,I1,13,247.5,0,0.0,0
2022-04-20,S1,I1,8,247.5,0,0.0,0
2022-04-21,S1,I1,11,247.5,0,0.0,0
2022-04-22,S1,I1,11,247.5,0,0.0,0
2022-04-23,S1,I1,14,247.5,0,0.0,0
2022-04-24,S1,I1,13,247.5,0,0.0,0
2022-04-25,S1,I1,6,247.5,0,0.0,0
2022-04-26,S1,I1,7,247.5,0,0.0,0
2022-04-27,S1,I1,9,247.5,0,0.0,0
2022-04-28,S1,I1,12,247.5,0,0.0,0
2022-04-29,S1,I1,12,247.5,0,0.0,0
2022-04-30,S1,I1,18,247.5,1,0.11,0
2022-05-01,S1,I1,8,247.5,0,0.0,0
2022-05-02,S1,I1,11,247.5,0,0.0,0
2022-05-03,S1,I1,7,247.5,0,0.0,0
2022-05-04,S1,I1,13,247.5,0,0.0,0
2022-05-05,S1,I1,0,247.5,0,0.0,1
2022-05-06,S1,I1,10,247.5,0,0.0,0
2022-05-07,S1,I1,6,247.5,0,0.0,0
2022-05-08,S1,I1,10,247.5,0,0.0,0
2022-05-09,S1,I1,7,247.5,0,0.0,0
2022-05-10,S1,I1,13,247.5,0,0.0,0
2022-05-11,S1,I1,7,247.5,0,0.0,0
2022-05-12,S1,I1,13,247.5,0,0.0,0
2022-05-13,S1,I1,15,247.5,1,0.13,0
2022-05-14,S1,I1,14,247.5,0,0.0,0
2022-05-15,S1,I1,13,247.5,0,0.0,0
2022-05-16,S1,I1,4,247.5,0,0.0,0
2022-05-17,S1,I1,5,247.5,0,0.0,0
